数据分析师(商业方向，中高级）,曹家渡,18:55发布,一面数据,10k-20k,10k-20k 经验1-3年 / 本科,
数据分析师助理,曹家渡,18:55发布,一面数据,5k-8k,5k-8k 经验不限 / 本科,
高级/资深数据分析师,中山公园,18:33发布,易观,25k-50k,25k-50k 经验5-10年 / 本科,
游戏数据分析师,浦东新区,18:35发布,欢动科技,8k-15k,8k-15k 经验1-3年 / 本科,
数据分析-TapTap(J11644),闸北公园,18:17发布,TapTap,20k-40k·14薪,20k-40k·14薪 经验3-5年 / 本科,
数据分析师,闵行区,2020-05-29,莉莉丝游戏,12k-20k,12k-20k 经验3-5年 / 本科,
中级数据分析师,东明路,17:58发布,新浪时金,12k-17k·13薪,12k-17k·13薪 经验3-5年 / 本科,
数据分析经理,静安寺,17:31发布,Gridsum 国双,15k-25k,15k-25k 经验3-5年 / 本科,
资深数据分析师（复贷）,东方路,17:11发布,上海嘉银金融科技股份有限公司,20k-30k·14薪,20k-30k·14薪 经验3-5年 / 本科,
大数据分析师-挖掘工程师,长宁区,16:52发布,算话智能科技有限公司,9k-18k,9k-18k 经验1-3年 / 本科,
数据分析师（产品方向）（上海） (MJ000257),奉贤区,16:46发布,袋鼠云,15k-25k·13薪,15k-25k·13薪 经验3-5年 / 本科,
商业数据分析师,漕河泾,17:01发布,驰骛科技ChiefClouds,15k-25k·13薪,15k-25k·13薪 经验3-5年 / 本科,
资深/高级数据分析师,延吉,16:48发布,得物App,20k-35k·16薪,20k-35k·16薪 经验3-5年 / 本科,
数据分析师（DA02）,普陀区,16:40发布,收钱吧,15k-30k·14薪,15k-30k·14薪 经验1-3年 / 本科,
数据分析师(BI方向),浦东新区,16:10发布,信也科技,9k-16k·13薪,9k-16k·13薪 经验1-3年 / 本科,
数据分析经理(J17406),张江,16:14发布,易鑫集团,12k-20k,12k-20k 经验5-10年 / 本科,
数据分析师（C端产品）,张江,16:15发布,51JOB,10k-20k,10k-20k 经验1-3年 / 本科,
